SpeciesName,longitude,latitude,Bio1,Bio12,TempMin,TempMax,PrecMin,PrecMax
Altingia_excelsa_Norona,32.794,-20.628,216,844,70,320,400,1300
Altingia_excelsa_Norona,32.823,-20.622,216,844,70,320,400,1300
Altingia_excelsa_Norona,42.017,9.4,175,804,70,320,400,1300
Altingia_excelsa_Norona,32.64,-18.942,186,866,70,320,400,1300
Altingia_excelsa_Norona,115.8,-32,185,782,70,320,400,1300
Altingia_excelsa_Norona,30.125,-24.625,184,759,70,320,400,1300
Altingia_excelsa_Norona,30.625,-28.125,168,814,70,320,400,1300
Altingia_excelsa_Norona,30.375,-22.875,188,1286,70,320,400,1300
Altingia_excelsa_Norona,30.125,-23.625,193,1055,70,320,400,1300
Altingia_excelsa_Norona,26.125,-32.625,152,585,70,320,400,1300
Altingia_excelsa_Norona,30.125,-24.125,177,990,70,320,400,1300
Altingia_excelsa_Norona,31.125,-26.625,176,999,70,320,400,1300
Altingia_excelsa_Norona,30.875,-24.625,170,1102,70,320,400,1300
Altingia_excelsa_Norona,29.875,-24.125,149,945,70,320,400,1300
Altingia_excelsa_Norona,30.125,-23.875,189,1092,70,320,400,1300
Altingia_excelsa_Norona,30.125,-23.375,199,911,70,320,400,1300
Altingia_excelsa_Norona,29.125,-23.125,197,460,70,320,400,1300
Altingia_excelsa_Norona,31.125,-25.875,165,1420,70,320,400,1300
Altingia_excelsa_Norona,31.125,-26.125,162,1298,70,320,400,1300
Altingia_excelsa_Norona,30.375,-24.125,210,710,70,320,400,1300
Altingia_excelsa_Norona,29.875,-23.125,190,730,70,320,400,1300
Altingia_excelsa_Norona,30.375,-23.875,216,659,70,320,400,1300
Altingia_excelsa_Norona,31.625,-26.375,210,687,70,320,400,1300
Altingia_excelsa_Norona,29.375,-23.875,176,561,70,320,400,1300
Altingia_excelsa_Norona,32.625,-18.875,180,910,70,320,400,1300
Altingia_excelsa_Norona,31.375,-26.625,208,699,70,320,400,1300
Altingia_excelsa_Norona,29.875,-23.875,147,1035,70,320,400,1300
Altingia_excelsa_Norona,30.125,-23.125,199,873,70,320,400,1300
Altingia_excelsa_Norona,30.625,-24.875,160,984,70,320,400,1300
Altingia_excelsa_Norona,30.875,-27.875,178,860,70,320,400,1300
Altingia_excelsa_Norona,29.625,-23.125,195,525,70,320,400,1300
Altingia_excelsa_Norona,30.875,-25.875,165,1180,70,320,400,1300
Altingia_excelsa_Norona,26.875,-31.875,159,548,70,320,400,1300
Altingia_excelsa_Norona,30.625,-25.875,183,925,70,320,400,1300
Altingia_excelsa_Norona,30.875,-24.375,216,560,70,320,400,1300
Altingia_excelsa_Norona,28.875,-23.125,188,565,70,320,400,1300
Altingia_excelsa_Norona,27.375,-32.625,162,836,70,320,400,1300
Altingia_excelsa_Norona,29.875,-22.875,197,666,70,320,400,1300
Altingia_excelsa_Norona,30.375,-23.625,200,910,70,320,400,1300
Altingia_excelsa_Norona,29.875,-23.625,169,1139,70,320,400,1300
Altingia_excelsa_Norona,29.625,-22.875,205,446,70,320,400,1300
Altingia_excelsa_Norona,30.875,-25.125,169,1130,70,320,400,1300
Altingia_excelsa_Norona,30.875,-24.875,164,1144,70,320,400,1300
Altingia_excelsa_Norona,28.625,-23.875,199,479,70,320,400,1300
Altingia_excelsa_Norona,30.625,-24.625,178,926,70,320,400,1300
Altingia_excelsa_Norona,29.125,-22.875,203,417,70,320,400,1300
Altingia_excelsa_Norona,30.875,-25.375,190,901,70,320,400,1300
Altingia_excelsa_Norona,30.125,-24.875,189,702,70,320,400,1300
Altingia_excelsa_Norona,27.125,-32.375,142,839,70,320,400,1300
Altingia_excelsa_Norona,31.375,-26.875,189,871,70,320,400,1300
Altingia_excelsa_Norona,30.375,-24.375,192,814,70,320,400,1300
Altingia_excelsa_Norona,31.375,-25.875,197,1068,70,320,400,1300
Altingia_excelsa_Norona,31.125,-25.125,203,833,70,320,400,1300
Altingia_excelsa_Norona,31.125,-26.375,169,1225,70,320,400,1300
Altingia_excelsa_Norona,31.375,-27.625,181,818,70,320,400,1300
Altingia_excelsa_Norona,30.875,-29.875,201,964,70,320,400,1300
Altingia_excelsa_Norona,31.125,-28.625,172,859,70,320,400,1300
Amaranthus_caudatus_L.,-84.083,9.406,263,3730,120,380,1000,8000
Amaranthus_caudatus_L.,-84.006,9.433,253,3503,120,380,1000,8000
Amaranthus_caudatus_L.,-84.901,9.936,270,1719,120,380,1000,8000
Amaranthus_caudatus_L.,-84.375,9.7,242,3086,120,380,1000,8000
Amaranthus_caudatus_L.,-84.055,9.356,263,3730,120,380,1000,8000
Amaranthus_caudatus_L.,29.823,1.231,226,1427,120,380,1000,8000
Amaranthus_caudatus_L.,31,1.5,250,980,120,380,1000,8000
Amaranthus_caudatus_L.,152.167,-4.167,266,2177,120,380,1000,8000
Amaranthus_caudatus_L.,-84.9,9.76,266,2099,120,380,1000,8000
Amaranthus_caudatus_L.,-74.678,7.095,253,3315,120,380,1000,8000
Amaranthus_caudatus_L.,-80.446,25.561,236,1541,120,380,1000,8000
Amaranthus_caudatus_L.,-83.106,8.854,224,3203,120,380,1000,8000
Amaranthus_caudatus_L.,37.363,-3.378,234,787,120,380,1000,8000
Amaranthus_caudatus_L.,-14.392,10.236,301,3267,120,380,1000,8000
Amaranthus_caudatus_L.,-8.501,7.652,238,2036,120,380,1000,8000
Amaranthus_cruentus_L.,-117,34,167,440,40,300,300,2800
Amaranthus_cruentus_L.,34.857,32.22,201,560,40,300,300,2800
Amaranthus_cruentus_L.,16.389,56.767,76,493,40,300,300,2800
Amaranthus_cruentus_L.,19.773,64.201,13,587,40,300,300,2800
Amaranthus_cruentus_L.,15.61,58.762,62,589,40,300,300,2800
Amaranthus_cruentus_L.,17.31,62.452,30,676,40,300,300,2800
Amaranthus_cruentus_L.,14.497,58.01,60,605,40,300,300,2800
Amaranthus_cruentus_L.,16.427,57.271,73,502,40,300,300,2800
Amaranthus_cruentus_L.,9.168,50.651,77,810,40,300,300,2800
Amaranthus_cruentus_L.,7.516,58.032,72,1367,40,300,300,2800
Amaranthus_cruentus_L.,7.454,58.038,70,1409,40,300,300,2800
Amaranthus_cruentus_L.,8.021,58.154,74,1263,40,300,300,2800
Amaranthus_cruentus_L.,10.378,59.174,72,727,40,300,300,2800
Amaranthus_cruentus_L.,10.016,59.088,68,744,40,300,300,2800
Amaranthus_cruentus_L.,10.803,59.66,61,767,40,300,300,2800
